MySuper Product Name,Fund Name,Annual Return
AMG MySuper,AMG Super,0.000542782
AMP MySuper No.1,AMP Retirement Trust,0.063884967
AFLPA & AFL Industry MySuper,AMP Superannuation Savings Trust,0.059105339
AMP MySuper No.2,AMP Superannuation Savings Trust,0.038861009
Anglican National MySuper,AMP Superannuation Savings Trust,0.00988763
Australia Post MySuper,AMP Superannuation Savings Trust,0.078335799
Brookfield Australia MySuper,AMP Superannuation Savings Trust,0.016242447
CCA MySuper,AMP Superannuation Savings Trust,0.010545921
Macquarie Group MySuper,AMP Superannuation Savings Trust,0.017535553
Woolworths Group MySuper,AMP Superannuation Savings Trust,0.020922719
Aon MySuper,AON Master Trust,0.003275795
Asgard Employee MySuper,ASGARD Independence Plan Division Two,0.000488978
MySuper Balanced,Australian Catholic Superannuation and Retirement Fund,0.008598017
Balanced (accumulation),Australian Ethical Retail Superannuation Fund,-0.00033006
AMIST MySuper,Australian Meat Industry Superannuation Trust,0.010013656
AustralianSuper MySuper,AustralianSuper,0.00754864
IBM Super Plan MySuper,AustralianSuper,0.006469293
Komatsu Super Plan MySuper,AustralianSuper,0.006458085
MySuper (Balanced),Austsafe Superannuation Fund,0.007191994
AvSuper Growth (MySuper),AvSuper Fund,0.00562454
Betros MySuper,Betros Bros Superannuation Fund No 2,0.033970276
MySuper Default Option,BHP Billiton Superannuation Fund,-0.107310184
BOC MySuper,Boc Gases Superannuation Fund,-0.000241801
BUSSQ MySuper,Building Unions Superannuation Scheme (Queensland),0.002302646
CareSuper,Care Super,0.010200339
My Ethical Super,Christian Super,0.011038382
Club Plus Super _ MySuper,Club Plus Superannuation Scheme,0.009431937
Club MySuper,Club Super,0.001405513
Colonial First State FirstChoice Superannuation Trust,Colonial First State FirstChoice Superannuation Trust,0.004399654
Combined Fund MySuper,Combined Super Fund,0.15
Accumulate Plus Balanced,Commonwealth Bank Group Super,0.009653453
Commonwealth Essential Super,Commonwealth Essential Super,0.001540121
MySuper Balanced,Concept One The Industry Superannuation Fund,0.010079278
Growth (Cbus MySuper),Construction & Building Unions Superannuation,0.00706715
Active Balanced,DuluxGroup Employees Superannuation Fund,-0.001841809
Balanced,Elphinstone Group Superannuation Fund,0.016823103
EmPlus MySuper,EmPlus Superannuation Fund,0.005794702
MySuper Balanced,Energy Industries Superannuation Scheme-Pool A,0.002915464
MySuper,Energy Super,0.002375172
Equipsuper MySuper,equipsuper,0
MyEquitySuper,EquitySuper,0.004970112
First State Super MySuper Lifecycle,First State Superannuation Scheme,0.009326301
First Super MySuper,First Super,0.004766312
Goldman Sachs & JBWere Superannuation Fund_MySuper Product,Goldman Sachs & JBWere Superannuation Fund,0.010690864
Guild Retirement Fund (MySuper),Guild Retirement Fund,0.004709229
Core Pool,Health Employees Superannuation Trust Australia,0.008727586
Balanced option,HOSTPLUS Superannuation Fund,0.006395058
MySuper,IAG & NRMA Superannuation Plan,0.009890414
Active Balanced,Incitec Pivot Employees Superannuation Fund,-0.001230696
Intrust MySuper,Intrust Super Fund,0.010171069
IOOF MySuper,IOOF Portfolio Service Superannuation Fund,0.191732382
Kinetic Super _ Growth (MySuper),Kinetic Superannuation Fund,0.022970481
MySuper Balanced,Labour Union Co-Operative Retirement Fund,0.00657173
MySuper Balanced,legalsuper,0.007888875
LESF MySuper,LESF Super,0.012385107
Vision MySuper,Local Authorities Superannuation Fund,-0.001098402
LGIASuper MySuper Lifecycle,Local Government Superannuation Scheme,0.005083916
MySuper Age-Based Investment Strategy,Local Government Superannuation Scheme - Pool A,0.002200201
Moderate investment option,Maritime Super,0.005736779
max Super MySuper,Max Super Fund,0.054599407
MIESF MySuper,Meat Industry Employees Superannuation Fund,0.004559223
Balanced investment option (accumulation),Media Super,0.006485222
Mercer Santos MySuper,Mercer Super Trust,-0.003418279
Mercer SmartPath,Mercer Super Trust,-0.000996535
Mercer WGSP MySuper,Mercer Super Trust,-0.001329696
MySuper,Mercy Super,0.003932633
Default Lifecycle,Mine Wealth and Wellbeing Superannuation Fund,0.007392783
My AutoSuper,MTAA Superannuation Fund,0.006615376
MyCatholicSuper,MyLifeMyMoney Superannuation Fund,0.009602108
NABGSF MySuper,National Australia Bank Group Superannuation Fund A,-0.003074945
NSF MySuper,Nationwide Superannuation Fund,0.009224611
NESS MySuper,NESS Super,0.008258885
Diversified (MySuper),NGS Super,0.006375802
ANZ Smart Choice Super,OnePath Masterfund,0.014047981
Perpetual MySuper,Perpetual's Select Superannuation Fund,0.188051101
Pitcher Retirement Plan MySuper,Pitcher Retirement Plan,-0.002913935
Plum MySuper,Plum Superannuation Fund,-0.039304708
MySuper,Prime Super,0.006309712
